Season,RoundNumber,GrandPrix,CornerNumber,Direction,CenterX,CenterY,Radius,Equation
2019,3,Chinese Grand Prix,1.0,Right,-5776.846995861575,-2232.0677085222414,1181.320372073517,(x - -5776.85)^2 + (y - -2232.07)^2 = 1395517.82
2019,3,Chinese Grand Prix,2.0,Left,-4103.14346216083,-1434.6674144655358,714.1197046645026,(x - -4103.14)^2 + (y - -1434.67)^2 = 509966.95
2019,3,Chinese Grand Prix,3.0,Right,-4576.061882544893,2066.837140684728,1619.7351517821312,(x - -4576.06)^2 + (y - 2066.84)^2 = 2623541.96
2019,3,Chinese Grand Prix,4.0,Right,-6202.197062842476,3105.784582422223,595.5961808772599,(x - -6202.20)^2 + (y - 3105.78)^2 = 354734.81
2019,3,Chinese Grand Prix,5.0,Left,-3627.8432986029743,1856.2946621303684,1254.0884610931528,(x - -3627.84)^2 + (y - 1856.29)^2 = 1572737.87
2019,3,Chinese Grand Prix,6.0,Right,-1403.8246177258347,1639.917471258856,840.097429850379,(x - -1403.82)^2 + (y - 1639.92)^2 = 705763.69
2019,3,Chinese Grand Prix,7.0,Left,-90.23739156308436,1508.5753255417449,315.3469744732295,(x - -90.24)^2 + (y - 1508.58)^2 = 99443.71
2019,3,Chinese Grand Prix,8.0,Left,-92.42794956114135,2016.5791436051386,655.9452311407609,(x - -92.43)^2 + (y - 2016.58)^2 = 430264.15
2019,3,Chinese Grand Prix,9.0,Left,-1861.847199132091,5784.805936786887,255.0636817228312,(x - -1861.85)^2 + (y - 5784.81)^2 = 65057.48
2019,3,Chinese Grand Prix,10.0,Right,-1940.400473898237,6688.615847858262,931.8079862099602,(x - -1940.40)^2 + (y - 6688.62)^2 = 868266.12
2019,3,Chinese Grand Prix,11.0,Right,5027.090949071046,-3176.1853367417825,510.70092665628107,(x - 5027.09)^2 + (y - -3176.19)^2 = 260815.44
2019,3,Chinese Grand Prix,12.0,Left,2869.4088186151944,-1235.0437790170083,324.3791908639037,(x - 2869.41)^2 + (y - -1235.04)^2 = 105221.86
2019,4,Azerbaijan Grand Prix,1.0,Left,3520.598951127819,688.9582366311023,239.0775769244524,(x - 3520.60)^2 + (y - 688.96)^2 = 57158.09
2019,4,Azerbaijan Grand Prix,2.0,Left,2398.7729157666886,3600.481651753846,127.09274078792919,(x - 2398.77)^2 + (y - 3600.48)^2 = 16152.56
2019,4,Azerbaijan Grand Prix,3.0,Left,-5422.301251592954,343.56016556109125,148.85409244212866,(x - -5422.30)^2 + (y - 343.56)^2 = 22157.54
2019,4,Azerbaijan Grand Prix,4.0,Right,-4964.295899135708,-1660.3299865858708,156.26752950669027,(x - -4964.30)^2 + (y - -1660.33)^2 = 24419.54
2019,4,Azerbaijan Grand Prix,5.0,Left,-7502.15757349371,-3410.6020013796106,258.3695553084565,(x - -7502.16)^2 + (y - -3410.60)^2 = 66754.83
2019,4,Azerbaijan Grand Prix,6.0,Right,-7678.267137450574,-3850.388301175751,122.90642601291194,(x - -7678.27)^2 + (y - -3850.39)^2 = 15105.99
2019,4,Azerbaijan Grand Prix,7.0,Left,-9505.204115464569,-7142.308591931973,1431.2731247816046,(x - -9505.20)^2 + (y - -7142.31)^2 = 2048542.76
2019,4,Azerbaijan Grand Prix,8.0,Right,-10659.820755201776,-5999.256928005744,233.5093864770076,(x - -10659.82)^2 + (y - -5999.26)^2 = 54526.63
2019,4,Azerbaijan Grand Prix,9.0,Left,-11514.887165366274,-4383.098840621044,90.28704959375555,(x - -11514.89)^2 + (y - -4383.10)^2 = 8151.75
2019,4,Azerbaijan Grand Prix,10.0,Right,-11346.639503250808,-3614.0537299505468,739.2513342806141,(x - -11346.64)^2 + (y - -3614.05)^2 = 546492.54
2019,4,Azerbaijan Grand Prix,11.0,Left,-12517.32016408506,-19637.01019783925,15468.41127576824,(x - -12517.32)^2 + (y - -19637.01)^2 = 239271747.40
2019,4,Azerbaijan Grand Prix,12.0,Right,-12245.588806840264,-3958.403031480762,212.77038944954083,(x - -12245.59)^2 + (y - -3958.40)^2 = 45271.24
2019,4,Azerbaijan Grand Prix,13.0,Left,-12773.152892903505,-3741.0764416983734,197.426652207766,(x - -12773.15)^2 + (y - -3741.08)^2 = 38977.28
2019,4,Azerbaijan Grand Prix,14.0,Left,-15517.923106396005,-5793.816312828586,915.1401539459497,(x - -15517.92)^2 + (y - -5793.82)^2 = 837481.50
2019,4,Azerbaijan Grand Prix,15.0,Left,-15022.845772456347,-7461.628288071737,1893.0160216191375,(x - -15022.85)^2 + (y - -7461.63)^2 = 3583509.66
2019,4,Azerbaijan Grand Prix,16.0,Left,-16613.064535409914,-9473.706829308976,254.94577803443036,(x - -16613.06)^2 + (y - -9473.71)^2 = 64997.35
2019,4,Azerbaijan Grand Prix,17.0,Left,-13752.825627548726,-10999.082485258492,187.2334808089378,(x - -13752.83)^2 + (y - -10999.08)^2 = 35056.38
